user_id,name,email,country,signup_date
1,User_1,user1@mail.com,Canada,2023-01-06
2,User_2,user2@mail.com,USA,2023-12-15
3,User_3,user3@mail.com,UK,2023-02-28
4,User_4,user4@mail.com,UK,2023-12-16
5,User_5,user5@mail.com,Canada,2023-10-02
6,User_6,user6@mail.com,Canada,2023-05-17
7,User_7,user7@mail.com,Australia,2023-11-25
8,User_8,user8@mail.com,USA,2023-06-24
9,User_9,user9@mail.com,India,2023-02-27
10,User_10,user10@mail.com,USA,2023-05-31
11,User_11,user11@mail.com,UK,2023-08-11
12,User_12,user12@mail.com,India,2023-03-22
13,User_13,user13@mail.com,USA,2023-08-21
14,User_14,user14@mail.com,USA,2023-01-02
15,User_15,user15@mail.com,Canada,2023-05-15
16,User_16,user16@mail.com,India,2023-09-14
17,User_17,user17@mail.com,UK,2023-04-02
18,User_18,user18@mail.com,India,2023-09-17
19,User_19,user19@mail.com,Australia,2023-02-24
20,User_20,user20@mail.com,USA,2023-11-17
21,User_21,user21@mail.com,Australia,2023-06-02
22,User_22,user22@mail.com,Canada,2023-11-24
23,User_23,user23@mail.com,UK,2023-09-17
24,User_24,user24@mail.com,USA,2023-11-08
25,User_25,user25@mail.com,Australia,2023-04-12
26,User_26,user26@mail.com,UK,2023-03-20
27,User_27,user27@mail.com,USA,2023-07-11
28,User_28,user28@mail.com,USA,2023-03-24
29,User_29,user29@mail.com,Australia,2023-10-04
30,User_30,user30@mail.com,Canada,2023-09-29
31,User_31,user31@mail.com,Australia,2023-01-01
32,User_32,user32@mail.com,Canada,2023-11-03
33,User_33,user33@mail.com,India,2023-06-15
34,User_34,user34@mail.com,Australia,2023-09-08
35,User_35,user35@mail.com,UK,2023-01-10
36,User_36,user36@mail.com,India,2023-02-27
37,User_37,user37@mail.com,Australia,2023-07-05
38,User_38,user38@mail.com,Canada,2023-06-07
39,User_39,user39@mail.com,Australia,2023-05-03
40,User_40,user40@mail.com,India,2023-01-30
41,User_41,user41@mail.com,Canada,2023-05-04
42,User_42,user42@mail.com,USA,2023-10-18
43,User_43,user43@mail.com,UK,2023-02-10
44,User_44,user44@mail.com,UK,2023-02-13
45,User_45,user45@mail.com,USA,2023-09-06
46,User_46,user46@mail.com,UK,2023-02-05
47,User_47,user47@mail.com,USA,2023-09-30
48,User_48,user48@mail.com,UK,2023-03-06
49,User_49,user49@mail.com,Canada,2023-03-07
50,User_50,user50@mail.com,UK,2023-12-04
51,User_51,user51@mail.com,UK,2023-09-01
52,User_52,user52@mail.com,UK,2023-10-09
53,User_53,user53@mail.com,UK,2023-03-26
54,User_54,user54@mail.com,Australia,2023-05-16
55,User_55,user55@mail.com,Canada,2023-09-28
56,User_56,user56@mail.com,Canada,2023-11-07
57,User_57,user57@mail.com,USA,2023-08-05
58,User_58,user58@mail.com,Canada,2023-04-19
59,User_59,user59@mail.com,USA,2023-10-04
60,User_60,user60@mail.com,UK,2023-12-20
61,User_61,user61@mail.com,Australia,2023-04-13
62,User_62,user62@mail.com,Canada,2024-01-01
63,User_63,user63@mail.com,India,2023-06-09
64,User_64,user64@mail.com,Canada,2023-07-24
65,User_65,user65@mail.com,Australia,2023-12-10
66,User_66,user66@mail.com,Canada,2023-11-29
67,User_67,user67@mail.com,UK,2023-07-11
68,User_68,user68@mail.com,USA,2023-08-13
69,User_69,user69@mail.com,UK,2023-09-22
70,User_70,user70@mail.com,UK,2023-08-20
71,User_71,user71@mail.com,UK,2023-03-03
72,User_72,user72@mail.com,Australia,2023-05-07
73,User_73,user73@mail.com,Australia,2023-04-26
74,User_74,user74@mail.com,UK,2023-02-02
75,User_75,user75@mail.com,Canada,2023-06-23
76,User_76,user76@mail.com,UK,2023-01-11
77,User_77,user77@mail.com,Australia,2023-10-29
78,User_78,user78@mail.com,India,2023-10-11
79,User_79,user79@mail.com,UK,2023-04-28
80,User_80,user80@mail.com,UK,2023-10-29
81,User_81,user81@mail.com,India,2023-04-23
82,User_82,user82@mail.com,UK,2023-01-04
83,User_83,user83@mail.com,India,2023-02-06
84,User_84,user84@mail.com,Australia,2023-12-29
85,User_85,user85@mail.com,UK,2023-11-20
86,User_86,user86@mail.com,UK,2023-01-31
87,User_87,user87@mail.com,Australia,2023-04-28
88,User_88,user88@mail.com,India,2023-02-04
89,User_89,user89@mail.com,USA,2023-01-17
90,User_90,user90@mail.com,USA,2023-06-19
91,User_91,user91@mail.com,USA,2023-02-06
92,User_92,user92@mail.com,Canada,2023-09-21
93,User_93,user93@mail.com,Canada,2023-05-02
94,User_94,user94@mail.com,India,2023-05-23
95,User_95,user95@mail.com,USA,2023-12-09
96,User_96,user96@mail.com,UK,2023-09-06
97,User_97,user97@mail.com,Australia,2023-04-20
98,User_98,user98@mail.com,India,2023-10-04
99,User_99,user99@mail.com,Australia,2023-03-09
100,User_100,user100@mail.com,Australia,2023-10-20
